brand,km_driven,fuel,owner,purchased
Maruti,145500,Diesel,First Owner,No
Skoda,120000,Diesel,Second Owner,No
Honda,140000,Petrol,Third Owner,No
Hyundai,127000,Diesel,First Owner,No
Maruti,120000,Petrol,First Owner,No
Hyundai,45000,Petrol,First Owner,Yes
Maruti,175000,LPG,First Owner,No
Maruti,5000,Petrol,Second Owner,Yes
Toyota,90000,Diesel,First Owner,No
Ford,169000,Diesel,First Owner,Yes
Renault,68000,Diesel,Second Owner,Yes
Maruti,100000,Petrol,Second Owner,Yes
Maruti,140000,Diesel,Second Owner,No
Maruti,80000,Petrol,Second Owner,No
Maruti,90000,Petrol,Second Owner,Yes
Mahindra,40000,Petrol,First Owner,No
Maruti,70000,Diesel,Second Owner,Yes
Hyundai,53000,Diesel,Second Owner,Yes
Maruti,80000,Petrol,Second Owner,No
Hyundai,100000,Diesel,First Owner,Yes
Mahindra,100000,Diesel,Second Owner,Yes
Honda,50000,Diesel,First Owner,No
Maruti,40000,Diesel,First Owner,Yes
Maruti,72000,Diesel,First Owner,No
Tata,35000,Petrol,First Owner,Yes
Maruti,45000,Petrol,First Owner,No
Maruti,28000,Petrol,First Owner,No
Chevrolet,70000,Diesel,First Owner,No
Maruti,120000,Petrol,First Owner,No
Maruti,25000,Petrol,First Owner,Yes
Maruti,70000,Diesel,First Owner,No
Fiat,50000,Petrol,Second Owner,Yes
Maruti,35000,Petrol,Second Owner,Yes
Hyundai,2388,Petrol,First Owner,Yes
Maruti,16200,Diesel,First Owner,No
Maruti,10000,CNG,Second Owner,Yes
Maruti,15000,Petrol,First Owner,Yes
Hyundai,5000,Petrol,First Owner,Yes
Datsun,42000,Petrol,First Owner,No
Tata,60000,Diesel,Second Owner,No
Maruti,76000,Petrol,First Owner,No
Jeep,5000,Petrol,First Owner,Yes
Honda,28900,Petrol,First Owner,Yes
Honda,86300,Petrol,First Owner,No
Maruti,23300,Petrol,First Owner,No
Maruti,32600,Diesel,First Owner,Yes
Maruti,10300,Petrol,First Owner,No
Toyota,77000,Diesel,First Owner,Yes
Toyota,99000,Diesel,First Owner,Yes
Mercedes-Benz,27800,Diesel,Second Owner,No
Honda,49800,Diesel,First Owner,No
Mitsubishi,151000,Diesel,First Owner,No
Honda,54700,Diesel,First Owner,No
Maruti,64000,Petrol,First Owner,No
Honda,63000,Diesel,First Owner,No
Toyota,127700,Diesel,Second Owner,Yes
Toyota,99000,Diesel,First Owner,No
Audi,33900,Diesel,Second Owner,Yes
Toyota,25000,Petrol,First Owner,No
Audi,50000,Diesel,First Owner,Yes
Mercedes-Benz,59000,Diesel,First Owner,Yes
Tata,120000,Diesel,First Owner,Yes
Hyundai,110000,Petrol,Third Owner,No
Hyundai,60000,Diesel,First Owner,No
Maruti,147000,Diesel,Second Owner,Yes
Ford,25000,Petrol,Third Owner,No
Maruti,30000,Petrol,First Owner,Yes
Volkswagen,40000,Diesel,First Owner,Yes
Honda,135000,Diesel,First Owner,No
Maruti,30000,Petrol,First Owner,Yes
Volkswagen,80000,Diesel,First Owner,Yes
Maruti,70000,Diesel,First Owner,No
Maruti,9850,Diesel,First Owner,Yes
Hyundai,60000,Petrol,Second Owner,No
Maruti,70000,Diesel,First Owner,Yes
Toyota,78000,Diesel,Second Owner,No
Maruti,120000,Diesel,Second Owner,No
Maruti,120000,Petrol,Second Owner,No
Tata,70000,Diesel,First Owner,No
Volkswagen,170000,Diesel,First Owner,Yes
Toyota,140000,Diesel,First Owner,No
Ford,90000,Diesel,First Owner,Yes
BMW,30000,Petrol,Second Owner,Yes
Maruti,10000,Petrol,First Owner,Yes
Datsun,49000,Petrol,First Owner,No
Maruti,32000,Petrol,First Owner,Yes
Maruti,38000,Petrol,First Owner,Yes
Maruti,78000,Diesel,First Owner,Yes
Hyundai,28000,Petrol,First Owner,No
Maruti,32000,Petrol,First Owner,No
Maruti,44000,LPG,First Owner,No
Volkswagen,42000,Petrol,First Owner,Yes
Hyundai,45000,Petrol,Second Owner,Yes
Volkswagen,12000,Petrol,Second Owner,No
Maruti,55500,Petrol,First Owner,No
Hyundai,61500,Petrol,First Owner,Yes
Maruti,150000,Diesel,First Owner,No
Hyundai,72000,Petrol,First Owner,Yes
Maruti,68000,Petrol,Third Owner,Yes
Hyundai,110000,Diesel,First Owner,No
Maruti,77000,Petrol,Second Owner,No
Tata,100000,Diesel,Second Owner,No
Maruti,10000,Petrol,First Owner,No
Maruti,100000,Petrol,Third Owner,No
Maruti,35000,Petrol,First Owner,No
Mahindra,70000,Diesel,Second Owner,Yes
Ford,5000,Petrol,Second Owner,No
Hyundai,37800,Petrol,First Owner,Yes
Volkswagen,114000,Petrol,First Owner,No
Tata,48000,Petrol,First Owner,Yes
Mahindra,32000,Diesel,First Owner,Yes
Tata,100000,Diesel,First Owner,Yes
Hyundai,150000,Diesel,Second Owner,No
Hyundai,69000,Diesel,First Owner,No
Toyota,100000,Petrol,Second Owner,Yes
Maruti,13000,Petrol,First Owner,No
Maruti,60000,Diesel,First Owner,Yes
Maruti,40000,Petrol,First Owner,Yes
Maruti,35000,Petrol,First Owner,No
Maruti,120000,Diesel,Second Owner,Yes
Nissan,70000,Diesel,Third Owner,Yes
Hyundai,50000,Diesel,First Owner,No
Ford,76139,Diesel,First Owner,Yes
Maruti,175000,Diesel,Fourth & Above Owner,No
Renault,25000,Petrol,First Owner,Yes
Maruti,40000,Petrol,Second Owner,No
Maruti,65000,Petrol,Fourth & Above Owner,No
Maruti,90000,Diesel,Second Owner,No
Hyundai,80000,Petrol,Second Owner,No
Maruti,110000,Diesel,Second Owner,Yes
Honda,1303,Petrol,First Owner,No
Audi,31800,Diesel,First Owner,Yes
Lexus,20000,Petrol,First Owner,Yes
Jaguar,45000,Diesel,First Owner,Yes
Jeep,17000,Petrol,First Owner,No
Land,21000,Diesel,First Owner,Yes
Mercedes-Benz,37000,Diesel,First Owner,Yes
BMW,29500,Diesel,First Owner,Yes
BMW,27000,Diesel,First Owner,No
BMW,7500,Diesel,First Owner,No
Skoda,50000,Petrol,First Owner,No
Mercedes-Benz,35000,Diesel,First Owner,Yes
MG,19000,Petrol,First Owner,Yes
Honda,41000,Petrol,First Owner,No
Toyota,39000,Petrol,First Owner,No
Volvo,22000,Diesel,First Owner,Yes
Audi,53000,Diesel,First Owner,No
Maruti,40000,Diesel,First Owner,Yes
Mercedes-Benz,47000,Diesel,First Owner,Yes
BMW,72200,Petrol,Second Owner,No
Hyundai,49900,Petrol,First Owner,yes
Jaguar,9000,Diesel,First Owner,No
Tata,11000,Petrol,First Owner,No
Volkswagen,49000,Petrol,First Owner,No
Hyundai,95000,Petrol,First Owner,No
Skoda,11000,Petrol,First Owner,Yes
Mercedes-Benz,18000,Petrol,First Owner,No
Maruti,46100,Petrol,First Owner,Yes
Mercedes-Benz,16000,Petrol,First Owner,No
Honda,18000,Petrol,First Owner,Yes
Toyota,9654,Petrol,First Owner,Yes
Maruti,11000,Petrol,First Owner,Yes
Maruti,24300,Petrol,First Owner,No
Toyota,42163,Diesel,Second Owner,No
Tata,8000,Diesel,First Owner,Yes
BMW,30000,Diesel,First Owner,No
Toyota,41000,Petrol,First Owner,Yes
BMW,12000,Diesel,First Owner,Yes
Toyota,71000,Petrol,First Owner,No
Maruti,20000,Petrol,First Owner,Yes
Volvo,30000,Petrol,First Owner,Yes
Volkswagen,100000,Diesel,Second Owner,No
Ford,9500,Petrol,First Owner,Yes
Ford,120000,Diesel,First Owner,No
Maruti,36600,Petrol,First Owner,Yes
Maruti,50000,Petrol,Second Owner,No
Hyundai,14000,Petrol,Second Owner,No
Maruti,40000,Petrol,Second Owner,No
Maruti,120000,Diesel,First Owner,No
Hyundai,70000,Petrol,First Owner,Yes
Volkswagen,13000,Petrol,First Owner,No
Hyundai,60000,Petrol,Second Owner,Yes
Maruti,35000,Petrol,First Owner,Yes
Hyundai,44000,Petrol,Second Owner,Yes
Honda,120000,Petrol,Second Owner,No
Toyota,60000,Diesel,First Owner,Yes
Daewoo,60000,Petrol,First Owner,Yes
Toyota,30000,Diesel,Second Owner,Yes
Mahindra,15000,Petrol,Second Owner,No
Tata,90000,Diesel,First Owner,No
Honda,47000,Petrol,Second Owner,No
Maruti,90000,Petrol,First Owner,Yes
Maruti,120600,Petrol,Second Owner,Yes
Hyundai,100000,Petrol,Third Owner,No
Maruti,60000,Petrol,Second Owner,No
Hyundai,86000,Petrol,First Owner,Yes
Hyundai,5000,Petrol,First Owner,No
Maruti,37000,Diesel,First Owner,Yes
Tata,14000,Petrol,First Owner,Yes
Maruti,70000,Diesel,First Owner,No
Toyota,120000,Diesel,First Owner,Yes
Honda,50000,Petrol,First Owner,Yes
Honda,60000,Petrol,Second Owner,No
Maruti,50000,CNG,First Owner,Yes
Maruti,50000,Petrol,First Owner,No
Hyundai,70000,Petrol,First Owner,Yes
Maruti,90000,Petrol,Second Owner,No
Maruti,35000,Petrol,First Owner,No
Maruti,20000,Petrol,First Owner,No
Maruti,20000,Petrol,First Owner,No
Maruti,7800,Petrol,First Owner,Yes
Maruti,20000,Petrol,First Owner,No
Tata,15000,Diesel,First Owner,Yes
Hyundai,31377,Petrol,Second Owner,Yes
Maruti,50000,Diesel,First Owner,Yes
Maruti,60000,Petrol,First Owner,No
Toyota,100000,Petrol,First Owner,Yes
Honda,60000,Petrol,First Owner,Yes
Maruti,5000,Petrol,First Owner,Yes
Tata,60000,Diesel,First Owner,No
Maruti,25000,Petrol,Second Owner,No
Renault,30000,Petrol,First Owner,No
Datsun,80000,Petrol,Second Owner,Yes
Maruti,75000,Diesel,First Owner,Yes
Hyundai,32000,Petrol,First Owner,No
Maruti,40000,Petrol,First Owner,No
Hyundai,93000,Petrol,Second Owner,Yes
Tata,60000,Petrol,First Owner,No
Maruti,120000,Petrol,Second Owner,Yes
Nissan,37000,Petrol,First Owner,Yes
Ford,15000,Petrol,First Owner,No
Nissan,80000,Petrol,First Owner,yes
Maruti,140000,Petrol,First Owner,No
Mahindra,70000,Diesel,First Owner,No
Mahindra,120000,Diesel,Second Owner,No
Maruti,110000,Diesel,Second Owner,No
Hyundai,37000,Diesel,First Owner,Yes
Renault,44000,Petrol,First Owner,No
Maruti,80000,Diesel,First Owner,Yes
Mahindra,125000,Diesel,First Owner,No
Maruti,13500,Petrol,First Owner,Yes
Hyundai,75000,Petrol,First Owner,Yes
Hyundai,120000,Petrol,Second Owner,Yes
Mahindra,120000,Diesel,First Owner,No
Toyota,70000,Diesel,First Owner,No
Maruti,70000,Diesel,First Owner,Yes
Honda,15000,Petrol,First Owner,No
Hyundai,53000,Petrol,Second Owner,Yes
Maruti,120000,Diesel,Second Owner,Yes
Maruti,70000,Diesel,First Owner,No
Hyundai,120000,Petrol,Second Owner,Yes
Hyundai,100000,Petrol,Second Owner,Yes
Tata,110000,Diesel,Second Owner,No
Maruti,100000,Petrol,First Owner,Yes
Tata,162500,Diesel,First Owner,No
Hyundai,39000,Diesel,First Owner,Yes
Maruti,75000,Diesel,First Owner,No
Tata,50000,Diesel,First Owner,No
Mahindra,40000,Diesel,First Owner,No
Hyundai,92500,Diesel,First Owner,No
Maruti,158000,Diesel,First Owner,Yes
Maruti,120000,Diesel,First Owner,No
Honda,50000,Diesel,Second Owner,Yes
Maruti,110000,Diesel,First Owner,Yes
Hyundai,2000,Diesel,Second Owner,Yes
Toyota,181000,Diesel,Second Owner,No
Tata,70000,Diesel,First Owner,Yes
Nissan,90000,Petrol,Second Owner,Yes
Hyundai,2000,Petrol,First Owner,Yes
Maruti,20000,Petrol,First Owner,No
Toyota,120000,Diesel,First Owner,No
Mahindra,35000,Diesel,First Owner,No
Maruti,193000,Diesel,First Owner,Yes
Maruti,80000,Petrol,First Owner,Yes
Datsun,40000,Petrol,First Owner,No
Hyundai,70000,Diesel,Fourth & Above Owner,No
Mahindra,122358,Diesel,First Owner,Yes
Tata,75000,Diesel,First Owner,No
Tata,120000,Diesel,First Owner,Yes
Tata,40000,Petrol,First Owner,Yes
Hyundai,95200,Petrol,Third Owner,No
Honda,33033,Petrol,First Owner,Yes
Hyundai,63063,Petrol,First Owner,Yes
Tata,60000,Diesel,First Owner,No
Maruti,45000,Petrol,Second Owner,Yes
Tata,80000,Diesel,Third Owner,No
Mahindra,170000,Diesel,Second Owner,Yes
Mahindra,207890,Diesel,Second Owner,No
Mercedes-Benz,7976,Diesel,First Owner,No
Maruti,35000,Petrol,First Owner,No
Hyundai,35000,Petrol,First Owner,No
Hyundai,35000,Petrol,First Owner,Yes
Hyundai,50000,Petrol,First Owner,No
Maruti,20000,Petrol,First Owner,Yes
Hyundai,20000,Petrol,First Owner,Yes
Maruti,50000,Petrol,Second Owner,Yes
Maruti,50000,Petrol,Second Owner,No
Mahindra,120000,Diesel,First Owner,Yes
Hyundai,70000,Petrol,First Owner,Yes
